Year,Nivel,Género,GeoCode,Value
2018,Formación Profesional Primer Grado,,860697,341
2018,Formación Profesional Primer Grado,,860698,159
2018,Formación Profesional Primer Grado,,860699,998
2018,Formación Profesional Primer Grado,,860700,28
2018,Formación Profesional Primer Grado,,860701,24
2018,Formación Profesional Primer Grado,,860702,301
2018,Formación Profesional Primer Grado,,860703,693
2018,Formación Profesional Primer Grado,,860704,1454
2018,Formación Profesional Primer Grado,,860705,1282
2018,Formación Profesional Primer Grado,,860706,2579
2018,Formación Profesional Primer Grado,,860707,772
2018,Formación Profesional Primer Grado,,860708,210
2018,Formación Profesional Primer Grado,,860709,2549
2018,Formación Profesional Primer Grado,,860710,739
2018,Formación Profesional Primer Grado,,860711,1224
2018,Formación Profesional Primer Grado,,860712,1409
2018,Formación Profesional Primer Grado,,860713,1719
2018,Formación Profesional Primer Grado,,860714,1331
2018,Formación Profesional Primer Grado,,860715,2100
2018,Formación Profesional Primer Grado,,860716,1144
2018,Formación Profesional Primer Grado,,860717,1072
2018,Formación Profesional Primer Grado,,860718,546
